acousticness,album_id,analysis_url,artists_id,artists_name,available_markets,country,danceability,disc_number,duration_ms,energy,href,id,instrumentalness,key,liveness,loudness,lyrics,mode,name,playlist,popularity,preview_url,speechiness,tempo,time_signature,track_href,track_name_prev,track_number,uri,valence,type
0.131,1azUkThwd2HfUDdeNeT147,https://api.spotify.com/v1/audio-analysis/1CkvWZme3pRgbzaxZnTl5X,['4dpARuHxo51G3z768sgnrY'],Adele,"['AR', 'BO', 'BR', 'CL', 'CO', 'CR', 'DO', 'EC', 'GT', 'HN', 'MX', 'NI', 'PA', 'PE', 'PY', 'SV', 'US', 'UY']",BE,0.729,1.0,228293.0,0.756,https://api.spotify.com/v1/tracks/1CkvWZme3pRgbzaxZnTl5X,1CkvWZme3pRgbzaxZnTl5X,0.0,8.0,0.0527,-5.119,"

There's a fire starting in my heart
Reaching a fever pitch, and it's bringing me out the dark
Finally, I can see you crystal clear
Go ahead and sell me out, and then I'll lay your ship  bare
See how I'll leave with every piece of you
Don't underestimate the things that I will do
There's a fire starting in my heart
Reaching a fever pitch, and it's bringing me out the dark

The scars of your love remind me of us
They keep me thinkin' that we almost had it all
The scars of your love, they leave me breathless
I can't help feeling

We could have had it all
(You're gonna wish you – never had met me)
Rolling in the deep
(Tears are gonna fall, rolling in the deep)
You had my heart inside of your hand
(You're gonna wish you – never had met me)
And you played it to the beat
(Tears are gonna fall, rolling in the deep)

Baby, I have no story to be told
But I've heard one on you
Now I'm gonna make your head burn
Think of me in the depths of your despair
Make a home down there
As mine sure won't be shared

(You're gonna wish you – never had met me)
The scars of your love remind me of us
(Tears are gonna fall, rolling in the deep)
They keep me thinkin' that we almost had it all
(You're gonna wish you – never had met me)
The scars of your love, they leave me breathless
(Tears are gonna fall, rolling in the deep)
I can't help feeling

We could have had it all
(You're gonna wish you – never had met me)
Rolling in the deep
(Tears are gonna fall, rolling in the deep)
You had my heart inside of your hand
(You're gonna wish you – never had met me)
And you played it to the beat
(Tears are gonna fall, rolling in the deep)
Could have had it all
Rolling in the deep
You had my heart inside of your hand
But you played it with a beating

Throw your soul through every open door (oh-oh)
Count your blessings to find what you look for (woah-oh)
Turn my sorrow into treasured gold (oh-oh)
You'll pay me back in kind and reap just what you sow

(You're gonna wish you – never had met me)
We could have had it all
(Tears are gonna fall, rolling in the deep)
We could have had it all
(You're gonna wish you – never had met me)
It all, it all, it all
(Tears are gonna fall, rolling in the deep)

We could have had it all
(You're gonna wish you – never had met me)
Rolling in the deep
(Tears are gonna fall, rolling in the deep)
You had my heart inside of your hand
(You're gonna wish you – never had met me)
And you played it to the beat
(Tears are gonna fall, rolling in the deep)

We could have had it all
(You're gonna wish you – never had met me)
Rolling in the deep
(Tears are gonna fall, rolling in the deep)
You had my heart inside of your hand
(You're gonna wish you – never had met me)
But you played it, you played it, you played it
You played it to the beat
",1.0,Rolling in the Deep,pop,74.0,https://p.scdn.co/mp3-preview/8c174ce25d94b502dfe31f0da8a070a32fb263db?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0294,104.945,4.0,https://api.spotify.com/v1/tracks/1CkvWZme3pRgbzaxZnTl5X,track_13,1.0,spotify:track:1CkvWZme3pRgbzaxZnTl5X,0.522,track
0.0284,34ywWzeLG8WVOwgyV6vLUY,https://api.spotify.com/v1/audio-analysis/7Hs4BDVWvKvKzfr5A0pI9K,['1dTBAtLZBUB8Ir4PmJYw9t'],Justin Bieber,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",BE,0.498,1.0,211946.0,0.935,https://api.spotify.com/v1/tracks/7Hs4BDVWvKvKzfr5A0pI9K,7Hs4BDVWvKvKzfr5A0pI9K,8.1e-05,7.0,0.0772,-4.266,"

You stop to find your fortune hidden in the bay
You just don't know what you're getting
Yourself in
And I'm so machiavellian
Inside my head my problems they don't
Hide away from me

I know, I know
We're not the same
But, tell my mother that I'm sorry for the blame
For what I did this year

Your weekend is drifting on and on
I just don't know if I can go on
To get it
And I'm so tired of my thoughts
They drive my head in a mangled knot
And I just want to begin this

I know, I know
We're not the same
But, tell my mother that I'm sorry for the blame
For what I did this year
I know, I'm sorry...
",1.0,Sorry,pop,53.0,https://p.scdn.co/mp3-preview/f172888b32347ff668b4fb21837729be1e5804b8?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0408,159.984,4.0,https://api.spotify.com/v1/tracks/7Hs4BDVWvKvKzfr5A0pI9K,track_14,1.0,spotify:track:7Hs4BDVWvKvKzfr5A0pI9K,0.752,track
0.029,6eRhLfRy1CbGTD0fkSrJob,https://api.spotify.com/v1/audio-analysis/3Hc5FvTzjtxF7DmOK6MaXV,['7E6r9S8qCRfZVCjF1A8do6'],Adele,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",FI,0.757,1.0,198857.0,0.899,https://api.spotify.com/v1/tracks/3Hc5FvTzjtxF7DmOK6MaXV,3Hc5FvTzjtxF7DmOK6MaXV,1.82e-05,6.0,0.303,-4.301,"
Dum dum dumm dum dum dum dumm dum dum dum dum dum
Hello Hello Hello Hello
Ummmmm
Hello Hello Hello Hello
Yeah
She had de ting I lul love
Where she from I don't know
Drop she waist an go low
Rock de place like a dojo
So wa yuh say, wah yu say, wah yu say
Pretty gyul would yuh come my way
Wuh yu do, wuh yuh do, wuh yuh do
I must get through
Gyul roll up yuh waist an show me that wine
Turn around girl doh be shy
Hello Hello Hello Hello
Yeah
So gyul ah love how de way you blow my mind
Hold me tight and bring dat wine
Hello Hello Hello Hello
Lawd Eh
Are you ready Ready
Are you ready for it
Are you ready Ready
Are you ready for it
Yuh wan give me dat
Doh hold back
Wine it up
Ride it
Front to de back
No long chat
Just come to me
An give yuh that sweet type of love
Sweet type of love
Come give me that sweet type of love
Real type of love
Hold me darlin
Cause whole night we jammin
Yeah Yeah Yeah
Say she sweet like a mango
She play de ting like a banjo
Dem other gyul dem doh know
How she wrap de ting like a go go
Lawd
So wa yuh say, wah yu say, wah yu say
Sexy gyul wah yu come my way
Wuh yu do, wuh yuh do, wuh yuh do
I must get through
Gyul roll up yuh waist
Show me that wine
Turn around girl doh be shy
Hello Hello Hello Hello
Yeah
So gyul ah love how de way yuh blow my mind
Hold me tight and bring dat wine
Hello Hello Hello Hello
Lawd Eh
Are you ready Ready
Are you ready for it
Are you ready Ready
Are you ready for it
Yuh wan give me dat
Doh hold back
Wine it up
Ride it
Front to de back
No long chat
Just come to me
Ah give yuh that sweet type of love
Sweet type of love
Come give me that sweet type of love
Real type of love
Hold me darlin
Cause whole night we jammin
Yeah Yeah Yeah
Dum dum dumm dum dum dum dumm dum dum dum dum dum
Hello Hello Hello Hello
Ummmm ummmm
Hello Hello Hello Hello
Yeah Yeah Yeah
",1.0,Hello,pop,56.0,https://p.scdn.co/mp3-preview/66ac669ec538565d93f0dbcc70203acbe337f059?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0442,105.163,4.0,https://api.spotify.com/v1/tracks/3Hc5FvTzjtxF7DmOK6MaXV,track_1,1.0,spotify:track:3Hc5FvTzjtxF7DmOK6MaXV,0.558,track
0.93,1HozJh2kGkfP40jiGSNndN,https://api.spotify.com/v1/audio-analysis/282mpJjzXHueMKalP5ifxT,['07FfkbljNIdl45Ijlh1aXS'],Taylor Swift,"['AD', 'AE', 'AT', 'BE', 'BG', 'BH', 'CH', 'CY', 'CZ', 'DE', 'DK', 'DZ', 'EE', 'EG', 'ES', 'FI', 'FR', 'GR', 'HK', 'HU', 'ID', 'IL', 'IN', 'IS', 'IT', 'JO', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MY', 'NL', 'NO', 'OM', 'PH', 'PL', 'PS', 'PT', 'QA', 'RO', 'SA', 'SG', 'SK', 'TH', 'TN', 'TR', 'TW', 'VN', 'ZA']",BE,0.397,1.0,245053.0,0.141,https://api.spotify.com/v1/tracks/282mpJjzXHueMKalP5ifxT,282mpJjzXHueMKalP5ifxT,0.000367,9.0,0.128,-13.096,"
Nice to meet you, where you been?
I could show you incredible things
Magic, madness, heaven, sin
Saw you there and I thought
Oh my God, look at that face
You look like my next mistake
Love's a game, wanna play?
Cause we're young and we're reckless
We'll take this way too far
It'll leave you breathless
Or with a nasty scar
Got a long list of ex-lovers
They'll tell you I'm insane
But I've got a blank space, baby
And I'll write your name
Your name
New money, suit and tie
You can read me like a magazine
Ain't it funny, rumors fly
And I know you heard about me
So hey, let's be friends
I'm wanna see how this one ends
Grab your passport and my hand
Cause we're young and we're reckless
We'll take this way too far
It'll leave you breathless
Or with a nasty scar
Got a long list of ex-lovers
They'll tell you I'm insane
But I've got a blank space, baby
And I'll write your name
Your name
Boys only want love if it's torture
Don't say I didn't say, I didn't warn ya
Boys only want love if it's torture
Don't say I didn't say, I didn't warn ya
So it's gonna be forever
Or it's gonna go down in flames
You can tell me when it's over
If the high was worth the pain
Got a long list of ex-lovers
They'll tell you I'm insane
Cause you know I love the players
And you love the game
We're young and we're reckless
We'll take this way too far
It'll leave you breathless
Or with a nasty scar
Got a long list of ex-lovers
They'll tell you I'm insane
But I've got a blank space, baby
And I'll write your name
Your name
",1.0,Blank Space,pop,37.0,https://p.scdn.co/mp3-preview/2b84fe76ba227417b0e0cbfc835b69bf2f662188?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0347,77.901,4.0,https://api.spotify.com/v1/tracks/282mpJjzXHueMKalP5ifxT,track_19,1.0,spotify:track:282mpJjzXHueMKalP5ifxT,0.176,track
0.0246,7pMVCMwGykuEu9rzTHxLCm,https://api.spotify.com/v1/audio-analysis/7D0YmNlI9FDwodlKzHraRp,['3fMbdgg4jU18AjLCKBhRSm'],Michael Jackson,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",FI,0.92,1.0,294053.0,0.654,https://api.spotify.com/v1/tracks/7D0YmNlI9FDwodlKzHraRp,7D0YmNlI9FDwodlKzHraRp,0.0171,11.0,0.0427,-3.027,"

She was more like a beauty queen from a movie scene
I said, ""Don't mind, but what do you mean, I am the one
Who will dance on the floor in the round?""
She said I am the one who will dance on the floor in the round
She told me her name was Billie Jean
As she caused a scene
Then every head turned with eyes that dreamed of being the one
Who will dance on the floor in the round

People always told me, ""Be careful of what you do
Don't go around breaking young girls' hearts"" (hee-eeh)
And mother always told me, ""Be careful of who you love
And be careful of what you do (oh-oh)
'Cause the lie becomes the truth"" (oh-oh)

Billie Jean is not my lover
She's just a girl who claims that I am the one (oh, baby)
But the kid is not my son, hoo!
She says I am the one (oh, baby)
But the kid is not my son (hee-hee-hee, no-no-no, hee-hee-hee)
Hoo!

For forty days and for forty nights, the law was on her side
But who can stand when she's in demand?
Her schemes and plans
'Cause we danced on the floor in the round, hee!
So take my strong advice, just remember to always think twice
(Don't think twice) Do think twice! (ah-hoo!)
She told my baby we'd danced till three, then she looked at me
Then showed a photo of a baby crying, his eyes were like mine (oh, no)
'Cause we danced on the floor in the round, baby
(ooh, hee-hee-hee)

People always told me, ""Be careful of what you do
And don't go around breaking young girls' hearts""
(don't break no hearts! hee-hee)
She came and stood right by me
Then the smell of sweet perfume (ha-oh)
This happened much too soon (ha-oh, ha-ooh)
She called me to her room (ha-oh, hoo!)

Billie Jean is not my lover (hoo!)
She's just a girl who claims that I am the one
But the kid is not my son
No-no-no, no-no-no-no-no-no
Billie Jean is not my lover
She's just a girl who claims that I am the one (oh baby)
But the kid is not my son (oh, no, no)
She says I am the one (oh baby)
But the kid is not my son (no, hee-hee)

Ah, hee-hee-hee
Hee! Hoo!
She says I am the one, but the kid is not my son
No-no-no, hoo! (oh)
Billie Jean is not my lover
She's just a girl who claims that I am the one
But the kid is not my son
No-no-no, no-no-no-no
She says I am the one, but the kid is not my son (no-no-no)
She says I am the one (You know what you did)
She says he is my son (Breaking my heart babe)
She says I am the one

Billie Jean is not my lover
Billie Jean is not my lover
Billie Jean is not my lover
Billie Jean is not my lover
Billie Jean is not my lover
Billie Jean is not my lover
",0.0,Billie Jean,pop,47.0,https://p.scdn.co/mp3-preview/48f364b15efb00727aeb9961224a9a31c86f3336?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0401,117.029,4.0,https://api.spotify.com/v1/tracks/7D0YmNlI9FDwodlKzHraRp,track_34,13.0,spotify:track:7D0YmNlI9FDwodlKzHraRp,0.86,track
0.00209,0EpEa0WMjcA1LjEZXqWMEk,https://api.spotify.com/v1/audio-analysis/1lEV3VulfpyKh7aVz5F96p,['2zBwozgONxPvn5iOOwuO7g'],Sam Smith,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",FI,0.431,1.0,204465.0,0.659,https://api.spotify.com/v1/tracks/1lEV3VulfpyKh7aVz5F96p,1lEV3VulfpyKh7aVz5F96p,0.523,4.0,0.129,-6.061,"

Don't go away
Don't fade away
Don't leave me
Don't let me die alone
Ooh, ooh, ooh, ooh, ooh...
Please stay with me
Please haunt my dreams
Please forgive me
Please love me forever
Ooh, ooh, ooh, ooh, ooh

",1.0,Stay With Me,pop,38.0,https://p.scdn.co/mp3-preview/e0e72912bc20732e6ba5945eb9f58c1b2449cc9f?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0323,90.002,4.0,https://api.spotify.com/v1/tracks/1lEV3VulfpyKh7aVz5F96p,track_15,9.0,spotify:track:1lEV3VulfpyKh7aVz5F96p,0.0747,track
0.843,2fEYL3YBVILeEuiKJL7S2n,https://api.spotify.com/v1/audio-analysis/1ty3N197je3o1dN0F6Fu1G,['07r7OPIALkj6Icaoj4Kf5l'],Cher,"['AD', 'AE', 'AR', 'AT', 'AU', 'BG', 'BH', 'BO', 'BR', 'CA', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",FI,0.413,1.0,236667.0,0.339,https://api.spotify.com/v1/tracks/1ty3N197je3o1dN0F6Fu1G,1ty3N197je3o1dN0F6Fu1G,0.0,7.0,0.171,-8.107,"

No matter how hard I try
You keep on pushing me aside
And I can't break through
There's no talking to you
It's so sad that you're leaving
It takes time to believe it
And after all is said and done
You're gonna be the lonely one, oh

Do you believe in life after love?
I can feel something inside me say, and
I really don't think you're strong enough, no
Do you believe in life after love?
I can feel something inside me say it
But I really don't think you're strong enough, no

What am I supposed to do?
Sit around and wait for you?
Well, I can't do that
There's no... no turning back
It takes time to move on
I need love to feel strong
Well, I've had time to think it through
And maybe I'm too good for you, oh

Do you believe in life after love?
I can feel something inside me say, and
I really don't think you're strong enough, no
Do you believe in life after love?
I can feel something inside me say it
But I really don't think you're strong enough, no

And I know that I'll get through this
'Cause I know that I am strong
And I don't need you anymore, no
No, I don't need you anymore
No, I don't need you anymore
No, I don't need you anymore

Do you believe in life after love?
I can feel something inside me say it
But I really don't think you're strong enough, no
Do you believe in life after love?
I can feel something inside me say it
But I really don't think you're strong enough, no

Do you believe in life after love?
I can feel something inside me say it, and
I really don't think you're strong enough
",1.0,Believe,pop,48.0,https://p.scdn.co/mp3-preview/0130614f636beea2f0cf8e30e08d8bddd88a06fd?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0349,116.538,4.0,https://api.spotify.com/v1/tracks/1ty3N197je3o1dN0F6Fu1G,track_33,1.0,spotify:track:1ty3N197je3o1dN0F6Fu1G,0.199,track
0.227,3bcWEzEr5DTtNqCgFLqpZn,https://api.spotify.com/v1/audio-analysis/72WBu3udxgfDrCpjq02k5U,['3IZrrNonYELubLPJmqOci2'],Pharrell Williams,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",FI,0.716,1.0,150790.0,0.529,https://api.spotify.com/v1/tracks/72WBu3udxgfDrCpjq02k5U,72WBu3udxgfDrCpjq02k5U,0.0,5.0,0.106,-10.414,"
Lonliness is nothin' new
I've lived with it my whole life through
So look out gloom
I'm makin' room for happy happy
Through with walkin' sadness street
I'm dancin' on these smilin' feet
Oh, blues be gone
I'm turnin' on with happy happy
And should he need me
Well I'll be right there
I don't care, anywhere
And should he want me
I'll say this is it, the lamp is lit
Here we go, here we go
Up to where our mind are free
And ev'ryday's philosophy
Says life is wild be like a child
Called happy happy
",1.0,Happy,pop,16.0,https://p.scdn.co/mp3-preview/55201558d1e703d4a20238d2f534805e16e67e82?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0764,122.522,4.0,https://api.spotify.com/v1/tracks/72WBu3udxgfDrCpjq02k5U,track_42,15.0,spotify:track:72WBu3udxgfDrCpjq02k5U,0.799,track
0.00181,0k0edPOtil92llQAqDPK8n,https://api.spotify.com/v1/audio-analysis/0RKqylCDwg0Lzq8Stu266U,['2DBaDAcrh5sf17yR1qbnsy'],Rihanna,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",BE,0.638,1.0,370909.0,0.5,https://api.spotify.com/v1/tracks/0RKqylCDwg0Lzq8Stu266U,0RKqylCDwg0Lzq8Stu266U,0.008,1.0,0.0985,-9.633,"
Shine bright like a diamond
Shine bright like a diamond
Shining bright like a diamond
Find light in the beautiful sea
I choose to be happy
You and I, you and I
We're like diamonds in the sky
You're a shooting star I see
A visions of ecstasy
When you hold me, I'm alive
We're like diamonds in the sky
I knew that we'd become one right away
Oh, right away
At first sight I felt the energy of sun rays
I saw the life inside your eyes
So shine bright, tonight you and I
We're beautiful like diamonds in the sky
Eye to eye, so alive
We're beautiful like diamonds in the sky
Shine bright like a diamond
Shine bright like a diamond
Shining bright like a diamond
We're beautiful like diamonds in the sky
Shine bright like a diamond
Shine bright like a diamond
Shining bright like a diamond
We're beautiful like diamonds in the sky
Palms rise to the universe
As we moonshine and molly
Feel the warmth, we'll never die
We're like diamonds in the sky
You're a shooting star I see
A visions of ecstasy
When you hold me, I'm alive
We're like diamonds in the sky
At first sight I felt the energy of sun rays
I saw the life inside your eyes
So shine bright, tonight you and I
We're beautiful like diamonds in the sky
Eye to eye, so alive
We're beautiful like diamonds in the sky
Shine bright like a diamond
Shine bright like a diamond
Shining bright like a diamond
We're beautiful like diamonds in the sky
Shine bright like a diamond
Shine bright like a diamond
Shining bright like a diamond
We're beautiful like diamonds in the sky
Shine bright like a diamond
Shine bright like a diamond
Shine
So shine bright, tonight you and I
We're beautiful like diamonds in the sky
Eye to eye, so alive (so alive)
We're beautiful like diamonds in the sky
Shine bright like a diamond
Shine bright like a diamond
We're beautiful like diamonds in the sky
Shine bright like a diamond
Shine bright like a diamond
We're beautiful like diamonds in the sky
Beautiful like diamonds in the sky
(so you're wrong, so you're wrong, so you're wrong)
(that's the way we, that's the way we, that's the way we)
(hey)
(come on)
(did you, did you, did you)
",1.0,Diamonds,pop,37.0,https://p.scdn.co/mp3-preview/b4b2c718dd167a7bcc7df0f18d0429e02eaf5b03?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0453,176.001,4.0,https://api.spotify.com/v1/tracks/0RKqylCDwg0Lzq8Stu266U,track_45,1.0,spotify:track:0RKqylCDwg0Lzq8Stu266U,0.188,track
0.000521,0RFmXhJYeBPeqQvljA8uHG,https://api.spotify.com/v1/audio-analysis/1qUJT6xZCjvQVNYoVILNod,['5ctFffJBdJe8PZL7W7NeML'],Maroon 5,"['AD', 'AE', 'AR', 'AU', 'BG', 'BH', 'BO', 'BR', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'FI', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IL', 'IN', 'IS', 'JO', 'KW', 'LB', 'LI', 'LT', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UY', 'VN', 'ZA']",BE,0.206,1.0,257227.0,0.989,https://api.spotify.com/v1/tracks/1qUJT6xZCjvQVNYoVILNod,1qUJT6xZCjvQVNYoVILNod,0.107,4.0,0.263,-6.858,"
Push...
This sugar will kill your pain...
Push!
Sate your frustration
Quench your sick desire
Sweeten your pain with fairy dust
As desperation melts down this toxic powder
On that spoon you set your life on fire
Sense of shame to forget
Far astray you’ll wander
Isolated in regret
Narcotize your existence
It’s self-destruction
It’s suicide
These wicked voices bewitch you
But you’re too young to die
Speak to your torment honey
And listen to your soul
As we’re the temple of strength
And we must soldier on
Push! Push! Push! Push!
I want to see you push
The hunter has become the prey
The master’s turned into a slave
Push! Push! Push! Push!
We all want to see you push
Your mother’s cry, your father’s prayers
They just mean nothing
Push!
And pump this venom through the veins
Into your bleeding heart
Push!
And put an end to all this pain with this final act
Push!
Orgasmic rapture, down in a hole
The needle bleeds the pleasure grows
Internal fracture, denial of your soul
Your blood freezes your body
Push! Push! Push! Push!
So let me see you push
The hunter has become the prey
The master’s turned into a slave
Push! Push! Push! Push!
We all want to see you push
Your mother’s cry, your father’s prayers
Make way for silence
How can you do this to yourself, in your very prime?
Life’s worth living no matter what is the sacrifice
Fight!
",0.0,Sugar,pop,42.0,https://p.scdn.co/mp3-preview/3c282f4247af7668b526aef00d3dd5498229b2fd?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.247,95.054,4.0,https://api.spotify.com/v1/tracks/1qUJT6xZCjvQVNYoVILNod,track_14,1.0,spotify:track:1qUJT6xZCjvQVNYoVILNod,0.0345,track
